Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
HazMat-High Carbon Monoxide,216-47 114th Avenue,Queens,2/7/16 3:53,2/7/16 4:25,40.70194165,-73.73966751
Structural-Crane Collapse,Victory Blvd & Glen Street,Staten Island,8/18/11 9:06,8/19/11 12:50,40.5903806,-74.19293825
Fire-4th Alarm,1225 White Plains Rd,Bronx,8/21/11 14:10,8/22/11 9:48,40.83127977,-73.86197611
LawEnforcement-Suspicious Package,66-11 Woodhaven Blvd,Queens,11/30/11 9:55,11/30/11 10:42,40.71803063,-73.86331812
Utility-Water Main,650 Madison Ave,Manhattan,12/1/11 0:03,12/1/11 12:55,40.76412662,-73.97103397
Fire-10-77 (Residential High Rise),2550 Olinville Ave,Bronx,6/1/12 13:59,6/1/12 16:22,40.86394108,-73.86840148
Fire-3rd Alarm,147  Conselyea St,Brooklyn,6/1/12 21:24,6/2/12 11:48,40.71516733,-73.94522717
Utility-Power Outage,8000 Utopia Parkway,Queens,5/30/12 13:51,6/3/12 12:16,40.72560042,-73.79169409
HazMat-Liquid,460 Kent Ave,Brooklyn,6/3/12 17:29,6/3/12 18:53,40.70837177,-73.96845401
Utility-Gas Service Line,1765 Madison Ave,Manhattan,3/23/15 15:12,3/23/15 17:05,40.7998755,-73.94491547
Fire-3rd Alarm,70-05 52 Avenue,Queens,8/9/15 3:11,8/9/15 6:22,40.73361194,-73.89390598
Structural-Construction Accident,327 East 64th Street,Manhattan,2/8/16 11:16,2/8/16 13:10,40.76340737,-73.96126232
Law Enforcement-Suspicious Package,750 1st Avenue,Manhattan,2/1/16 13:56,2/8/16 17:57,40.74898077,-73.96969797
Law Enforcement-Suspicious Package,52 Duane Street,Manhattan,2/9/16 9:41,2/9/16 9:47,40.71438706,-74.00377316
Fire-Other,544 West 35th Street,Manhattan,2/9/16 11:40,2/9/16 12:07,40.75621167,-74.00096013
Structural-Other,1040 40 Street,Brooklyn,11/30/16 22:54,,40.64340511,-73.99248525
Utility-Water Service Line,W 45 St & 7 Ave,Manhattan,8/23/11 16:11,8/23/11 16:58,40.75793447,-73.98556886
LawEnforcement-Suspicious Package,8th Avenue & West 47th Street,Manhattan,8/23/11 16:21,8/23/11 17:08,40.76040496,-73.98747426
HazMat-Unidentified powder,220 E 42nd St,Manhattan,11/30/11 16:02,12/1/11 14:07,40.75025521,-73.97325603
Medical-EMS MCI (Multiple Casualty Incident),262 Dahill Road,Brooklyn,12/1/11 23:14,12/2/11 4:20,40.6411027,-73.98018923
Fire-1st Alarm,1 World Trade Center,Manhattan,6/2/12 7:51,6/4/12 12:25,40.71339277,-74.01307602
LawEnforcement-Suspicious Package,200 Monroe Street,Manhattan,6/5/12 9:23,6/5/12 11:10,40.71239887,-73.98449659
Structural-Collapse,225 5 Avenue,Brooklyn,6/7/12 17:00,6/8/12 7:09,40.67567883,-73.98094685
Utility-Water Main,64-11 Queens Blvd,Queens,6/8/12 8:45,6/8/12 10:49,40.7410675,-73.90098155
Structural-Sink Hole,210 Smith St.,Brooklyn,10/16/13 15:59,10/17/13 10:59,40.68452378,-73.9919703
Weather-Snow,,Brooklyn,11/24/14 10:47,11/24/14 10:56,,
Law Enforcement-Other,220 South Street,Manhattan,2/9/16 13:55,2/9/16 14:41,40.7094519,-73.99432985
Utility-Water Service Line,2931 Frederick Douglass Blvd,New York,2/9/16 15:03,2/9/16 23:18,40.8293855,-73.93711848
Weather-Flooding,4099 Ocean Avenue,Brooklyn,2/8/16 7:57,2/10/16 2:07,40.58062749,-73.94784311
Weather-Flooding,225 Beach 28 Street,Queens,2/8/16 7:40,2/10/16 2:08,40.59568806,-73.76123306
Weather-Flooding,victory boulevard & travis avenue,Staten Island,2/8/16 9:06,2/10/16 2:09,40.59982728,-74.17822286
Fire-1st Alarm,83 Elizabeth St,Manhattan,7/18/13 14:53,7/19/13 4:36,40.71804033,-73.9960643
HazMat-Powder,200 Vesey Street,Manhattan,7/22/13 17:08,7/25/13 10:56,40.71444646,-74.01549307
HazMat-Aerosol,6 East 44 Street,Manhattan,10/23/13 13:56,10/23/13 15:43,40.75460418,-73.97953826
LawEnforcement-Missing Person,1483 Bushwick Avenue,Brooklyn,10/22/13 16:30,10/23/13 19:27,40.68330093,-73.90723282
Fire-1st Alarm,50 West 44th Street,Manhattan,12/25/13 18:18,12/25/13 19:02,40.75545265,-73.98155569
Structural-Stability Problem,1353  Myrtle Avenue,Brooklyn,12/21/13 16:50,12/26/13 10:40,40.6983074,-73.92324582
Transportation-Train Subway,1 Grand Central Terminal,Manhattan,2/19/14 2:30,2/20/14 7:04,40.7525205,-73.97730475
Transportation-Train Subway,West 31st Street  & 7th Avenue,Manhattan,2/21/14 9:36,2/21/14 10:31,40.7491025,-73.99200582
Fire-School,1825 Prospect Avenue,Bronx,4/30/14 15:34,4/30/14 16:54,40.84208396,-73.89111633
Transportation-Disabled Train,West 34th Street & 7th Avenue,Manhattan,4/30/14 19:44,4/30/14 21:42,40.75099078,-73.99062327
Fire-2nd Alarm,52-15 Seabury Street,Queens,3/29/15 9:38,3/29/15 10:58,40.73615486,-73.87853731
Structural-Crane,40 Worth Street,Manhattan,2/5/16 8:35,2/10/16 13:06,40.71736224,-74.00689733
Structural-Bricks,,Brooklyn,2/25/16 0:37,2/25/16 15:29,,
Utility-Manhole,111 East 210th Street,Bronx,3/8/15 14:32,3/10/15 10:19,40.87988444,-73.88048062
Fire-Other,Henry Hudson Parkway  & George Washington Bridge,Manhattan,3/10/15 9:18,3/10/15 14:49,,
Fire-2nd Alarm,1048 46 street,Brooklyn,4/2/15 23:43,4/3/15 2:17,40.64009151,-73.99599323
Fire-Other,168 st & 84 avenue,Queens,4/5/15 5:11,4/5/15 8:16,,
Transportation-Train Subway,Grand Central Station,Manhattan,4/6/15 9:59,4/6/15 11:14,40.74459573,-73.98310254
Utility-Water Service Line,National Street & 43 Avenue,Queens,4/13/15 9:02,4/13/15 22:57,40.71400364,-73.82998933
Utility-Other,130 East 57 Street,Manhattan,7/19/15 23:31,7/20/15 1:53,40.76106857,-73.96948671
Fire-10-77 (Residential High Rise Fire),131 Moore street,Brooklyn,7/20/15 10:21,7/20/15 11:29,40.70394985,-73.94045394
Utility-Water Main,370 East 160 Street,Bronx,7/19/15 21:23,7/20/15 18:01,40.82381048,-73.91494976
Utility-Power Outage,777 Seaview Avenue,Staten Island,7/20/15 23:38,7/21/15 12:36,40.57950104,-74.07825202
HazMat-High Carbon Monoxide,89 East 42nd Street,Manhattan,7/21/15 12:06,7/21/15 13:00,40.75210061,-73.97760446
Utility-Water Main,1201 Pennsylvania Avenue,Brooklyn,7/24/15 15:40,7/25/15 2:58,40.65137029,-73.88523982
Structural-Stability Problem,172-24 46 Ave,Queens,2/10/16 16:31,2/10/16 18:39,40.75325095,-73.79311634
Structural-Partial Collapse,1773 East 19 Street,Brooklyn,3/10/15 14:11,3/10/15 14:49,40.60704061,-73.95407096
Fire-3rd Alarm,11 Kenmore Street,Staten Island,3/10/15 16:51,3/10/15 20:18,40.56196249,-74.17832699
Fire-3rd Alarm,1295 5 Avenue,Manhattan,3/11/15 0:06,3/11/15 4:41,40.79715187,-73.94901341
HazMat-Fuel,829 East 226 Street,Bronx,3/11/15 18:44,3/12/15 11:03,40.88728385,-73.85618536
Utility-Gas Main Rupture,155 West 35 Street,Manhattan,4/15/15 2:11,4/15/15 3:01,40.75118277,-73.98898826
Utility-Power Outage,1 Richmond Terrace,Staten Island,4/16/15 23:12,4/17/15 0:14,40.64241233,-74.07522011
Law Enforcement-Other,450 East 42nd Street,manhattan,4/9/15 14:49,4/17/15 15:52,40.7484646,-73.96911353
Structural-Collapse,2nd Avenue & East 7th Street,Manhattan,3/26/15 15:30,,40.72797581,-73.98811897
Fire-Haz Mat,,Manhattan,4/21/15 19:28,4/21/15 22:27,40.81966357,-73.95187309
Fire-2nd Alarm,100 West 143 Street,Manhattan,2/12/16 5:42,2/12/16 7:39,40.81919997,-73.93733404
Utility-Other,100 West 33rd Street,Manhattan,2/15/16 8:21,2/15/16 9:21,40.74929984,-73.98867458
Fire-3rd Alarm,1216 Olmstead Avenue,Bronx,2/15/16 5:59,2/15/16 9:33,40.83201952,-73.85420531
Utility-Power Outage,89 East 42 Street,Manhattan,2/15/16 10:04,2/15/16 11:35,40.75210061,-73.97760446
Utility-Power Outage,59 West 46 Street,Manhattan,2/15/16 11:06,2/15/16 12:17,40.75680294,-73.98084063
Utility-Other,160 West 118 Street,Manhattan,2/16/16 8:56,2/16/16 12:43,40.80400604,-73.95035908
Utility-Transformer,Roosevelt Avenue  & Main street,Queens,2/16/16 16:09,2/16/16 17:50,40.75956953,-73.83013931
Utility-Power Outage,Beach 108th Street & Rockaway Beach Boulevard,Queens,2/16/16 15:19,2/16/16 19:13,40.58191582,-73.82977392
Utility-Water Service Line,888 Franklin Avenue,Brooklyn,2/17/16 9:50,2/17/16 11:36,40.66815512,-73.95889166
HazMat-High Carbon Monoxide,2282 East 7th Street,Brooklyn,2/17/16 11:00,2/18/16 4:22,40.59484063,-73.96352057
Structural-Construction Accident,131-07 40 road,queens,2/18/16 7:53,2/18/16 9:04,40.75594129,-73.83604285
Structural-Falling Debris,22-71 33rd Street,Queens,2/18/16 7:56,2/18/16 9:22,40.77428156,-73.91092596
Fire-Sensitive Location,West 31 Street & 8 Avenue,Manhattan,2/19/16 21:09,2/19/16 23:20,40.75029388,-73.99484249
Law Enforcement-Device,Water Street & Wall Street,Manhattan,2/25/16 11:24,2/25/16 12:57,40.70518369,-74.0073938
Structural-Partial Collapse,190 Fordham Street,Bronx,2/24/16 20:44,2/25/16 19:39,40.8476543,-73.7846468
Medical-Injured City Worker,,Manhattan,2/25/16 18:09,2/25/16 20:05,,
HazMat-Fuel,175-01 Van Wyck Expressway,Queens,2/26/16 4:37,2/26/16 5:55,,
Structural-Stability Problem,223 West 13 Street,Manhattan,2/23/16 14:17,2/26/16 11:05,40.73828297,-74.0011439
Structural-Bricks,724 Lafayette Ave,Brooklyn,2/25/16 12:33,2/26/16 11:19,40.69069722,-73.94414024
Structural-Falling Debris,243 West 125th Street,New York,2/26/16 17:38,2/26/16 20:22,40.80970944,-73.95004778
Fire-1st Alarm,1115 Prospect Avenue,Bronx,2/29/16 2:33,2/29/16 5:29,40.8262513,-73.89889276
Structural-Crane,533 West 52nd Street,New York,2/28/16 13:51,2/29/16 8:04,40.76656184,-73.99234307
Law Enforcement-Other,768 5th Avenue,Manhattan,2/29/16 8:44,2/29/16 9:53,40.76415476,-73.97395077
Fire-School,133 West 21 Street,Manhattan,3/1/16 15:06,3/1/16 15:49,40.74208159,-73.99480704
Structural-Street Collapse,56th Street & 6th Avenue,Brooklyn,3/1/16 16:52,3/1/16 17:31,40.64041488,-74.01160961
Fire-2nd Alarm,3301 Fulton Street,Brooklyn,3/1/16 17:08,3/2/16 3:55,40.68324697,-73.87363278
Structural-Collapse,690 East 183 Street,Bronx,2/24/16 21:53,3/2/16 7:27,40.85210263,-73.88593452
Fire-Haz Mat,Hamilton Avenue & Huntington Street,Brooklyn,3/2/16 8:59,3/2/16 11:37,,
Law Enforcement-Other,777 Seaview Avenue,Staten ISland,3/2/16 14:08,3/2/16 14:37,40.57950104,-74.07825202
Fire-Other,345 Dean Street,Brooklyn,3/2/16 14:19,3/2/16 14:59,40.68355896,-73.98027036
Utility-Gas Main Rupture,250 Ashland Place,Brooklyn,3/2/16 13:57,3/2/16 15:33,40.68772243,-73.97833643
Law Enforcement-Suspicious Package,3070 Roberts Ave,Bronx,3/2/16 19:47,3/2/16 21:24,40.84607908,-73.82905095
Utility-Water Main,77-08 Broadway,Queens,12/25/16 13:35,12/25/16 20:44,40.71400364,-73.82998933
Utility-Steam Main,East 57th Street & 1st Avenue,Manhattan,3/26/15 21:14,3/27/15 10:33,40.75830818,-73.9629257
Utility-Steam Main,East 57 Street & 1st Avenue,Manhattan,3/26/15 20:34,3/27/15 11:03,40.75830818,-73.9629257
Utility-Water Service Line,428 Columbia Street,Brooklyn,8/23/11 22:59,8/23/11 23:07,40.67664362,-74.00675612
Structural-Damaged Water Tank,135 Richards St,Brooklyn,8/23/11 15:42,8/23/11 23:18,40.67709623,-74.01047315
Fire-4th Alarm,112-12 Jamaica Avenue,Queens,8/22/11 17:49,8/24/11 10:53,40.69749733,-73.83621543
LawEnforcement-Suspicious Package,38-3 21 St,Queens,12/2/11 10:27,12/2/11 10:59,40.75732374,-73.93924395
LawEnforcement-Suspicious Package,3rd Avenue & 90th Street,Manhattan,12/2/11 10:20,12/2/11 12:46,40.78138746,-73.9521236
Structural-Stability Problem,1859 Nostrand Ave,Brooklyn,12/3/11 17:11,12/3/11 19:16,40.64040665,-73.94844497
LawEnforcement-Suspicious Vehicle,8220 Fort Hamilton Parkway,Brooklyn,12/4/11 11:06,12/4/11 11:42,40.62229778,-74.02185127
LawEnforcement-Suspicious Package,Knapp Street & Avenue X,Brooklyn,12/4/11 13:46,12/4/11 14:32,40.5946375,-73.93301143
Utility-Steam,40 Ave & Vernon Blvd,Queens,12/5/11 6:55,12/5/11 8:04,40.75779911,-73.94581296
Marine-Pleasure Craft Small,5144 Ocean View Avenue,Brooklyn,7/29/15 16:42,7/29/15 21:13,40.58007076,-74.00961194
Rescue-Confined Space,743 5 Avenue,Manhattan,7/30/15 2:15,7/30/15 3:14,40.76317211,-73.97380676
Utility-Manhole,West 45 Street & Ninth Avenue,Manhattan,8/14/15 12:08,8/14/15 14:47,40.76035316,-73.99123199
Structural-Street Collapse,Livonia Avenue & New Jersey Avenue,Brooklyn,8/13/15 23:45,8/14/15 17:37,40.66490136,-73.89305285
Utility-Water Main,160 Avenue & 91 Street,Queens,8/15/15 16:10,8/15/15 21:38,40.65723042,-73.84137091
Weather-Flooding,61 9 Street,Brooklyn,8/16/15 15:41,8/16/15 15:59,40.67350644,-73.99521614
Fire-10-76 (Commercial High Rise Fire),261 w 35 street,manhattan,8/17/15 0:30,8/17/15 1:35,40.75235776,-73.99177444
Transportation-Train Subway,234 West 31 Street,Manhattan,8/17/15 7:58,8/17/15 9:07,40.74956369,-73.9931246
Utility-Power Outage,Beach 24 Street & Seagirt Boulevard,Queens,3/4/16 4:25,3/4/16 12:21,40.73938706,-74.03013762
Utility-Water Main,West 41 Street & 12 Avenue,Manhattan,3/3/16 23:28,3/4/16 14:32,40.76139099,-74.0017363
Fire-10-76 (Commercial High Rise Fire),506 Lenox Avenue,Manhattan,3/4/16 11:15,3/4/16 14:33,40.8143573,-73.94065862
Utility-Manhole,99 9th Street,Brooklyn,3/4/16 14:11,3/4/16 16:25,40.67310292,-73.99438341
Marine-Other,109 Beach 56 St,Queens,2/25/16 5:17,3/5/16 3:31,40.5907982,-73.78560478
Fire-2nd Alarm,2037 Belmont Avenue,Bronx,3/5/16 15:39,3/5/16 16:44,40.84795963,-73.89031876
Law Enforcement-Suspicious Package,149-55 114 St,Queens,3/8/16 17:59,3/8/16 19:42,40.66874091,-73.82724528
Utility-Gas Service Line,225 East 45 St,Manhattan,3/8/16 16:24,3/8/16 20:17,40.75239589,-73.97232036
Structural-Stability Problem,32  Milbank Road,Staten Island,6/20/13 10:29,6/20/13 13:18,40.561015,-74.10238653
Fire-Sensitive Location,West 181 Street & Fort Washington Avenue,Manhattan,6/20/13 17:10,6/21/13 1:38,40.85090739,-73.93828373
Fire-2nd Alarm,151 West 34 Street,Manhattan,10/25/13 20:36,10/25/13 22:40,40.75043897,-73.98929516
Utility-Water Service Line,1845  Broadway,Manhattan,10/30/13 11:51,10/30/13 12:56,40.76926702,-73.98211505
Fire-4th Alarm,2860 Valentine Avenue,Bronx,10/27/13 17:20,11/1/13 20:06,40.86982574,-73.88934624
HazMat-High Carbon Monoxide,61-11 188 st,Queens,12/26/13 12:35,12/26/13 12:58,40.74025323,-73.78639049
Structural-Car into Building,1700 Richmond Avenue,Staten Island,12/26/13 23:07,12/27/13 0:34,40.60703387,-74.16240298
Utility-Steam Condition,East 69th Street & Madison Avenue,Manhattan,12/31/13 17:19,12/31/13 19:25,40.76984553,-73.96684722
Fire-Hospital,327 Beach 19th Street,Queens,1/1/14 1:46,1/1/14 3:11,40.59856043,-73.75276047
Structural-Scaffold,401 East Tremont Avenue,Bronx,1/1/14 8:29,1/1/14 9:16,40.84763976,-73.90081568
Utility-Gas Service Line,250 East 30 Street,Manhattan,12/15/14 22:57,12/17/14 10:33,40.74271929,-73.97880573
Utility-Water Service Line,,Brooklyn,3/13/16 11:26,3/13/16 17:43,,
Utility-Water Service Line,50 Central Park South,Manhattan,12/6/16 12:02,12/9/16 18:40,40.71442154,-74.00607638
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/16 12:35,12/26/16 18:25,40.59972441,-73.96242614
Fire-3rd Alarm,343 East 66 Street,Manhattan,3/27/15 1:39,3/27/15 22:13,40.76454603,-73.96007759
Utility-Network Condition,East 37 Street & 2nd Avenue,MANHATTAN,3/26/15 8:23,3/27/15 22:48,40.74668183,-73.97449534
Fire-1st Alarm,3202 Clarendon Road,Brooklyn,3/28/15 9:39,3/28/15 12:33,40.64336473,-73.94669504
Fire-2nd Alarm,314 East 78 Street,Manhattan,4/8/15 5:10,4/8/15 7:51,40.77239959,-73.95496782
Fire-Manhole,West 20th Street & 6th Avenue,Manhattan,7/11/11 17:44,7/12/11 15:59,40.74103032,-73.99416478
Fire-3rd Alarm,18 Saint Pauls Ave,Staten Island,7/12/11 14:18,7/12/11 18:35,40.63735603,-74.07798118
Structural-Earthquake,Citywide,Citywide,8/23/11 14:31,8/25/11 4:15,,
Structural-Collapse,2131 Adam Clayton Powell Blvd,Manhattan,8/20/11 17:38,8/25/11 12:15,40.81027641,-73.94737054
Structural-Stability Problem,409 92nd Street,Brooklyn,8/25/11 11:59,8/25/11 15:10,40.61825562,-74.02998695
Fire-2nd Alarm,2912 Bruner Avenue,Bronx,8/25/11 15:53,8/25/11 18:48,40.8697688,-73.83674565
Structural-Cracks,4151 Broadway,Manhattan,6/21/13 18:33,6/22/13 17:32,40.84657902,-73.93834558
Structural-Scaffold,1165 Park Ave,Manhattan,6/23/13 13:25,6/23/13 17:46,40.78424009,-73.95422316
LawEnforcement-Suspicious Package,58-65  52 Road,Queens,11/2/13 15:42,11/2/13 17:21,40.73441972,-73.90760186
Rescue-Confined Space,80 Lafayette Street,Manhattan,11/3/13 17:21,11/3/13 19:31,40.71706874,-74.00178565
Structural-Sidewalk Shed,45 East 45 Street,Manhattan,1/2/14 1:17,1/2/14 13:38,40.7545379,-73.97739791
Medical-Nursing Home Relocation,430 East 80 St.,Manhattan,1/4/14 13:58,1/4/14 16:58,40.77255997,-73.95111904
Fire-3rd Alarm,1228 College Avenue,Bronx,1/3/14 2:11,1/4/14 21:27,40.83373377,-73.91279776
LawEnforcement-Suspicious Package,70 West 45 Street,Manhattan,1/4/14 20:26,1/4/14 21:54,40.75628156,-73.98157351
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,1/29/15 2:11,4/25/15 21:38,,
Fire-2nd Alarm,316 Beach 48 Street,Queens,5/18/15 12:16,5/18/15 15:36,40.59393096,-73.77885414
Utility-Water Main,200 Adelaide Avenue,Staten Island,3/9/16 12:58,3/9/16 18:05,40.56169021,-74.12462212
Fire-2nd Alarm,30-87 23rd Street,Queens,3/10/16 12:12,3/10/16 15:58,40.76705029,-73.92826765
Fire-10-77 (Residential High Rise Fire),300 West 23 Street,Manhattan,3/11/16 6:42,3/11/16 7:48,40.74546598,-73.99891733
Structural-Crane,100 Norfolk Street,Manhattan,2/14/16 14:13,3/11/16 10:34,40.71877528,-73.98714659
Structural-Partial Collapse,1660 Eastern Parkway,Brooklyn,3/9/16 13:06,3/11/16 10:36,40.67207428,-73.91362918
Structural-Scaffold,206 East 36 Street,Manhattan,3/12/15 10:49,3/12/15 13:43,40.74683328,-73.97680143
HazMat-High Carbon Monoxide,104 Euclid Avenue,Brooklyn,3/12/15 18:02,3/12/15 19:13,40.68598208,-73.8748319
Fire-School,310 Crown Street,Brooklyn,3/13/15 9:41,3/13/15 10:23,40.66621361,-73.94960013
Fire-Other,985 Bronx River Avenue,Bronx,3/13/15 17:40,3/13/15 20:11,40.82774165,-73.8414369
Structural-Construction Accident,225 Havemeyer Street,Brooklyn,4/21/15 11:39,4/21/15 13:08,,
Utility-Water Main,Broadway & East 13 Street,Manhattan,4/21/15 22:52,4/23/15 1:05,40.73397884,-73.99094319
Structural-Scaffold,175 Pearl Street,Brooklyn,4/22/15 19:13,4/23/15 1:39,40.69945222,-73.98783193
Rescue-Confined Space,219 East 44 Street,Manhattan,4/24/15 12:02,4/24/15 15:02,40.75180865,-73.97287643
Law Enforcement-Suspicious Package,1 Liberty Island,Manhattan,4/24/15 12:58,4/24/15 15:24,40.68988665,-74.04533705
Law Enforcement-Suspicious Package,34-13 99 Street,Queens,4/24/15 15:58,4/24/15 16:32,40.75501469,-73.86908951
HazMat-Fuel,East 39th Street and Second Ave,Manhattan,3/16/15 9:19,3/16/15 11:20,40.747925,-73.97360704
Utility-Other,202 Jay Street,Brooklyn,3/16/15 14:37,3/16/15 16:41,,
Structural-Scaffold,195 Greenpoint Avenue,Brooklyn,3/17/15 22:21,3/18/15 12:50,40.73044482,-73.95173084
Fire-Residential,35-50 Leverich Street,Queens,3/20/15 16:40,3/21/15 10:23,40.74991952,-73.89500245
HazMat-Other,300 West 44 Street,Manhattan,4/26/15 18:24,4/26/15 20:01,40.75870615,-73.98927579
Utility-Water Main,79 calyer st,Brooklyn,3/11/16 3:17,3/11/16 11:00,40.72699161,-73.95794978
Medical-EMS MCI (Multiple Casualty Incident),Tillary Street & Red Cross Place,Brooklyn,3/11/16 8:29,3/11/16 11:02,,
HazMat-Fuel,1600 Linden Boulevard,Brooklyn,3/10/16 17:42,3/11/16 15:49,40.65922783,-73.90223115
Utility-Water Service Line,300 Central Park West,Manhattan,3/10/16 13:34,3/12/16 9:59,40.78806248,-73.96731483
Utility-Phone Outage,89 East 42 Street,Manhattan,3/12/16 11:21,3/12/16 15:41,40.75210061,-73.97760446
Utility-Network Condition,134-14 Jamaica Avenue,Queens,3/11/16 13:07,3/12/16 16:03,40.70235926,-73.81853842
Structural-Other,750 Grand Concourse,Bronx,3/12/16 17:41,3/13/16 0:00,40.82310355,-73.92457242
Utility-Electrical,Rockaway Parkway & Linden Boulevard,Brooklyn,4/30/14 22:55,5/1/14 0:00,40.65413342,-73.91232975
Fire-Explosion,33-00 47 Ave,Queens,5/1/14 19:03,5/1/14 22:41,40.74263526,-73.931946
Structural-Life Safety Violations,33 Arden Street,Mamhattan,12/10/14 11:31,12/10/14 17:20,40.86196753,-73.92713854
Fire-2nd Alarm,595 East 170th Street,Bronx,12/14/14 17:56,12/14/14 22:09,40.83438563,-73.90090048
Structural-Falling Debris,163 West 125 Street,Manhattan,12/18/14 15:42,12/18/14 20:53,40.80864337,-73.94752355
Fire-Explosion,88-83 Van Wyck Expressway,Queens,1/15/15 20:07,1/15/15 22:54,40.70181119,-73.81564024
Fire-10-77 (Residential High Rise Fire),1309 Washington Avenue,Bronx,1/20/15 4:43,1/20/15 9:28,,
Utility-Gas Low Pressure,Marmion Avenue & East 176th Street,Bronx,1/24/15 9:56,1/24/15 20:18,40.84148314,-73.88852238
Law Enforcement-Device,Jerome Avenue & Mosholu Parkway,Bronx,1/24/15 21:51,1/24/15 23:03,40.87974871,-73.8846612
Fire-10-76 (Commercial High Rise Fire),60 East 42 Street,Manhattan,1/25/15 15:07,1/25/15 16:00,40.75257567,-73.9787665
Fire-2nd Alarm,1382 St Marks Aveune,Brooklyn,8/18/15 7:08,8/18/15 8:27,,
Fire-Brush,Knapp Street & Belt Parkway,Brooklyn,3/21/16 19:08,3/21/16 19:38,40.73998015,-73.98878917
Structural-Collapse,652 Kent Avenue,Brooklyn,12/9/16 19:01,12/10/16 3:24,40.70099763,-73.963249
Fire-2nd Alarm,122 Lexington Ave,Manhattan,12/26/16 17:26,12/26/16 19:53,40.71442154,-74.00607638
Fire-2nd Alarm,97 Himrod Street,Brooklyn,4/8/15 5:50,4/8/15 8:04,40.69611469,-73.92377846
Utility-Gas Service Line,181 Schaefer Street,Brooklyn,4/8/15 11:42,4/8/15 12:48,40.68943943,-73.90812013
Structural-Partial Collapse,2370 Atlantic Ave,Brooklyn,8/29/11 7:37,8/29/11 17:12,40.67609532,-73.90652181
LawEnforcement-Suspicious Package,Mulberry St & Bayard St,Manhattan,8/29/11 17:29,8/29/11 18:19,40.7159187,-73.99932183
Structural-Partial Collapse,150-13 87th Ave,Queens,8/29/11 16:23,8/29/11 23:11,40.7082003,-73.80683615
Utility-Water Main,White Plains Road & Mace Avenue,Bronx,6/8/12 4:42,6/8/12 18:42,40.86321261,-73.86742318
HazMat-High Carbon Monoxide,87-20 96th Street,Queens,12/18/14 23:56,12/19/14 16:00,40.69401847,-73.84937555
Rescue-High Angle,1330 5 Ave,Manhattan,8/21/15 15:45,8/21/15 16:46,40.7978104,-73.94855783
HazMat-Fuel,West 143 Street & Convent Avenue,Manhattan,9/3/15 0:22,9/3/15 2:08,40.8233604,-73.94716508
Fire-3rd Alarm,141-14 Laburnum Avenue,Queens,3/13/16 9:30,3/13/16 12:00,40.75017509,-73.81637982
Fire-2nd Alarm,48-03 72nd Street,Queens,3/14/16 14:41,3/14/16 16:54,40.73810355,-73.89223891
Utility-Other,5 Avenue & 23 Street,Brooklyn,12/6/16 15:59,12/10/16 11:10,40.66022112,-73.9945785
Fire-1st Alarm,126 West 53rd Street,Manhattan,12/25/16 22:42,12/27/16 12:18,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,,Brooklyn,4/8/15 20:50,4/8/15 21:19,,
Utility-Other,175 West 13 St,Manhattan,4/8/15 19:08,4/9/15 11:26,40.71443043,-74.00609861
Fire-3rd Alarm,711 7th Avenue,Manhattan,8/30/11 2:29,8/30/11 5:08,40.75954548,-73.98437732
HazMat-Liquid,150 55th Street,Brooklyn,8/30/11 15:54,8/30/11 17:32,40.64694066,-74.02092962
LawEnforcement-Suspicious Package,65-30 Kissena Blvd,Queens,8/30/11 18:36,8/30/11 19:51,40.73670663,-73.81470292
Utility-Water Main,485 Lexingotn Ave,Manhattan,8/31/11 8:22,8/31/11 9:35,,
Utility-Manhole,95 Legion St,Brooklyn,12/7/11 17:21,12/8/11 11:19,40.66677168,-73.91778861
Structural-Other,813 Broadway,Manhattan,3/11/16 10:09,3/16/16 10:23,40.73292213,-73.99118508
Utility-Water Main,3314 Neptune Avenue,Brooklyn,3/16/16 18:19,3/17/16 3:42,40.57721656,-74.00019439
Structural-Scaffold,120 Skillman Street,Brooklyn,3/17/16 18:03,3/17/16 19:24,40.69499289,-73.95720184
Fire-Manhole,24 West 125 Street,Manhattan,3/17/16 22:51,3/18/16 0:00,40.80675015,-73.94308199
Utility-Water Main,2085 Ocean Parkway,Brooklyn,3/3/16 7:38,3/18/16 11:45,40.59839852,-73.96557838
Fire-1st Alarm,2885 Marion Ave,Bronx,3/18/16 14:57,3/18/16 18:35,40.86848214,-73.88506038
Utility-Steam Service Line,75 Broad Street,New York,3/20/16 6:43,3/20/16 8:45,40.70448618,-74.01155585
Fire-10-76 (Commercial High Rise Fire),460 Park Avenue South,Manhattan,12/19/14 12:06,12/19/14 13:03,40.74509142,-73.98280363
Medical-EMS MCI (Multiple Casualty Incident),58-17 Woodside Avenue,Queens,12/19/14 17:18,12/20/14 10:34,40.74560352,-73.90628353
Fire-2nd Alarm,374 Utica Avenue,Brooklyn,12/20/14 14:46,12/20/14 18:21,40.66552352,-73.93144433
Law Enforcement-Mobilization,Vernon Avenue & Marcy Avenue,Brooklyn,12/20/14 14:59,12/21/14 0:55,40.69463824,-73.94905935
